movement_ref,from_placement_id,from_status,to_placement_id,to_status,to_fee_amount,moved_at,reason
RD-2026-0001,plc_00025,client_review,plc_00018,fell_through,5764.65,2026-03-30T11:42:00Z,Candidate asked for a shorter commute and the client agreed to release them.
RD-2026-0002,plc_00301,sourced,plc_00268,placed,9262.89,2026-03-30T08:15:00Z,Cover ended when the permanent hire started; candidate moved on.
RD-2026-0003,plc_00276,fell_through,plc_97000,sourced,9520.99,2026-03-30T08:15:00Z,Candidate completed the project early and was moved to the follow-on.
RD-2026-0004,plc_00284,placed,plc_00085,fell_through,9106.61,2026-03-30T08:15:00Z,Site closure at short notice - candidate redeployed to the northern depot.
RD-2026-0005,plc_00017,redeployed,plc_00153,placed,4306.79,2026-03-30T11:42:00Z,Client merged the two desks; candidate reassigned to the surviving one.
RD-2026-0006,plc_97001,interviewing,plc_00234,sourced,9597.10,2026-03-31T07:55:00Z,Client ended the assignment early; candidate moved to the Harborline account.
RD-2026-0007,plc_00114,interviewing,plc_00330,submitted,5666.22,2026-03-30T08:15:00Z,Client reduced headcount by two; candidate redeployed the same week.
RD-2026-0008,plc_00186,fell_through,plc_00236,offered,7281.48,2026-03-31T16:31:00Z,Client merged the two desks; candidate reassigned to the surviving one.
RD-2026-0009,plc_97002,interviewing,plc_00147,fell_through,6196.28,2026-03-31T10:20:00Z,Assignment ended at the client's request with no fault on either side.
RD-2026-0010,plc_00116,fell_through,plc_97003,placed,10689.19,2026-03-30T14:07:00Z,Client reduced headcount by two; candidate redeployed the same week.
RD-2026-0011,plc_97004,sourced,plc_00102,fell_through,7819.92,2026-03-31T10:20:00Z,Candidate asked for a shorter commute and the client agreed to release them.
RD-2026-0012,plc_00348,fell_through,plc_00145,offer_out,9661.90,2026-03-31T07:55:00Z,Client merged the two desks; candidate reassigned to the surviving one.
RD-2026-0013,plc_00203,on_hold,plc_00031,placed,5729.38,2026-03-31T16:31:00Z,Client ended the assignment early; candidate moved to the Harborline account.
RD-2026-0014,plc_00210,interviewing,plc_00078,offer_out,2682.84,2026-03-30T14:07:00Z,Client merged the two desks; candidate reassigned to the surviving one.
RD-2026-0015,plc_00220,interviewing,plc_00182,on_assignment,6477.31,2026-03-30T11:42:00Z,Client ended the assignment early; candidate moved to the Harborline account.
RD-2026-0016,plc_00133,placed,plc_00273,fell_through,5084.16,2026-03-31T10:20:00Z,Site closure at short notice - candidate redeployed to the northern depot.
RD-2026-0017,plc_00128,fell_through,plc_00189,on_assignment,4519.78,2026-03-31T07:55:00Z,Candidate asked for a shorter commute and the client agreed to release them.
RD-2026-0018,plc_00214,offered,plc_00090,stood_down,10212.10,2026-03-31T16:31:00Z,Client reduced headcount by two; candidate redeployed the same week.
RD-2026-0019,plc_00285,sourced,plc_00333,placed,4558.34,2026-03-30T08:15:00Z,Candidate requested a transfer after the site reorganisation.
RD-2026-0020,plc_00207,interviewing,plc_00233,interviewing,7645.33,2026-03-30T08:15:00Z,Site closure at short notice - candidate redeployed to the northern depot.
RD-2026-0021,plc_00151,sourced,plc_00087,fell_through,3327.82,2026-03-31T16:31:00Z,Candidate completed the project early and was moved to the follow-on.
RD-2026-0022,plc_00310,submitted,plc_00213,offered,7001.59,2026-03-31T10:20:00Z,Client ended the assignment early; candidate moved to the Harborline account.
RD-2026-0023,plc_00040,interviewing,plc_00115,offered,2753.56,2026-03-31T07:55:00Z,Client ended the assignment early; candidate moved to the Harborline account.
RD-2026-0024,plc_00092,fell_through,plc_00209,sourced,8792.85,2026-03-31T07:55:00Z,Cover ended when the permanent hire started; candidate moved on.
RD-2026-0025,plc_00318,fell_through,plc_00043,offered,9025.87,2026-03-31T16:31:00Z,Site closure at short notice - candidate redeployed to the northern depot.
RD-2026-0026,plc_00010,placed,plc_97005,submitted,7825.74,2026-03-30T08:15:00Z,Shift pattern changed and no longer worked; candidate moved to days.
